head,relation,tail,noise
any more than many of the other rights that we have should be subject to popular vote,is a,claim,0
he wouldn’t know a suburb unless you took a wrong turn,is a,claim,0
they're the best -- they're most -- have best -- we're the best exporters,said in,07-10-2008,0
governor bush has made it clear that when he's elected this will be his number one priority as a legislative measure to submit to the congress,is a,claim,0
i think the matter is settled once and for all,is a,premise,0
i think that would be a - a very serious mistake,support,"no, i wouldn't do away with all - uh business deductions",0
it’s not what your party is saying,said in,29-09-2020,0
"you know, of the four that are on this ticket, i'm the only on that was born and reared on a farm and still involved in farming",said in,05-10-1988,0
it's going to help those families,is a,claim,0
if there was a connection i think that there would be a different parallel between deficits getting larger and interest rates going down,is a,claim,0
i would never use food as a political tool like our predecessors did,is a,premise,0
people can get them and put them on their guns to make their guns more safe,said in,17-10-2000,0
i would,said in,21-10-1984,0
i don't want it,attack,it's expensive,0
"i can see why people at your workplace think he changes positions a lot, because he does",is a,premise,0
we have people with no property,said in,09-10-1996,0
"they sent nuclear secrets, potentially, to countries like syria",said in,26-09-2008,0
we ought to support housing legislation which this administration has opposed,is a,claim,0
there is no difference between our view and theirs,support,they are a good way away,0
"and in that process, they can get government help and government guarantees, but they need to go through bankruptcy to get rid of excess cost and the debt burden that they'd -- they'd built up",is a,premise,0
"the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that i was talking about",is a,claim,0
"in our judeo-christian tradition, we recognize the right of taking a human life in self-defense",said in,07-10-1984,0
"how many leaders in the world today would respond to us, as a result of what we've done, in that way?",said in,30-09-2004,0
i can give you hundreds of -- you can probably give me 200 cases where one vote made a difference,support,i know it made a lot of difference many times in the congress,0
this is the reason why aarp has said that your plan would weaken medicare substantially,is a,premise,0
"those terrorists had been violating their northern border consistently, and israel chased them all the way to there",support,israel could not be blamed for that,0
there are places where we think we ought to go forward and develop those resources,said in,05-10-2000,0
"small business can afford health care, small restaurants can afford health care",support,health care needs to be affordable and available,0
"we just found out that aig, a company that got a bailout, just a week after they got help went on a $400,000 junket",said in,07-10-2008,0
i have some idea of the problems that people encounter,support,"i think the personal stories are, in some respects, surprisingly similar",0
"i've seen what it is like to see a war, to see the burdens of a war",said in,11-10-1992,0
we've become a third world country,is a,premise,0
we are committed to cutting back anything in our programs that need to be cut back to get us back on a path to fiscal responsibility,is a,premise,0
"cause much deeper cuts in medicare, medicaid, education and the environment",said in,09-10-1996,0
that's what governors ought to do,support,they ought to say this is the most important thing we do as a state,0
"in athletics, we know it",support,we have got to pull together,0
there are american jobs that are being lost,said in,16-10-1996,0
that is a national outrage,said in,17-10-2000,0
"i've listened to both sides, and if they would talk to one another instead of throwing rocks",said in,15-10-1992,0
"under george bush, with the support of senator mccain, we've been giving them $10 billion over the last seven years",is a,claim,0
that's not where we ought to go,said in,13-10-1988,0
"between the world trade center bombing in, what was it, 1993 or so, and the next time was five years, seven years",support,these people wait,0
i guess some may be better off,support,so some may be better off,0
i want flexibility,said in,13-10-1988,0
"we remember what it was like when we had a spending president and a spending congress, and interest rates",support,we don't want to go back to that,0
"i think also that in leadership -- well, i believe that you find people, positions such as i'm in who have the talent and ability to do the things that are needed in the various departments of government",is a,claim,0
"we have programs which we believe will move america,",is a,claim,0
the sequester is not something that i've proposed,said in,22-10-2012,0
"sean hannity said—and he called me the other day—and i spoke to him about it—he said you were totally against the war, because he was for the war",is a,claim,0
i wouldn't have supported either,said in,11-10-2000,0
we're protecting a couple of options in terms of modernizing our strategic forces,said in,13-10-1988,0
we did it without any of our allies that helped in the gulf,support,we went in there alone,0
"i've met with a group of very distinguished, experienced police chiefs a few weeks ago",said in,26-09-2016,0
"that kind of approach, i believe, will not grow our economy",support,i think that would be a mistake,0
the one thing we ought to know by now is that you can't go out and make secret deals with the ayatollah,said in,05-10-1988,0
those decisions are not always popular,is a,claim,0
"is it fair for somebody like you, making $20 million a year, to pay a lower tax rate than a nurse or a bus driver, somebody making $50,000 year",support,"he said, ""yes, i think that's fair",0
i want to rebuild the military power,said in,03-10-2000,0
my policy starts with a very robust policy to get all that energy in north america -- become energy secure,support,my five point plan is so different than what he would have done,0
"i'm appalled at the high, outrageous numbers of divorces",support,"i believe that discipline and respect for the law, all of these things, should be taught to children, not in our schools but families have to do that",0
which has not been revised in a good many years,support,we - uh believe that uh you can revise the federal criminal code,0
"anything other than a -- a -- a solution to this, which says -- which stops this -- this nuclear folly of theirs, is unacceptable to america",support,"we need to increase pressure time, and time again on iran",0
"we made significant breakthroughs, i think, at the end of the bush administration",said in,05-10-2000,0
i want you to be able to get a job,support,"also make sure that when they get out of college, there's a job",0
we all know that we've still got a lot of work to do,is a,claim,0
i suggested that we amend our legislation so that we could enjoy closer economic ties,said in,21-10-1960,0
"we cannot continue to tell the american people that we're going to build all of these systems, and at the same time, invest in important things here at home, and be serious about building a strong and good america",is a,claim,0
"mayo clinic is doing it superbly well, cleveland clinic, others",said in,03-10-2012,0
"the way to make sure they understand that is by having, from the very beginning, the tightest sanctions possible",said in,22-10-2012,0
"i regret deeply that the senate has not done its job and they have not permitted a vote on the person that president obama, a highly qualified person, they’ve not given him a vote to be able to be have the full complement of nine supreme court justices",is a,claim,0
they're coming here to work,is a,claim,0
we knew we had to act for the middle class,said in,11-10-2012,0
they have humiliated the holy father,is a,premise,0
you have talked about -- and in the last debate and again today -- that you would impose a no-fly zone to try to protect the people of aleppo and to stop the killing there,attack,president obama has refused to do that,0
the united states' economic recovery from the recession of a year ago is well ahead of the economic recovery of any major free industrial nation in the world today,said in,22-10-1976,0
middle-class people need the help,support,they do not need it,0
"when i was running for congress 1978 i sat and met with a person i felt very close to, a monsignor currently a bishop",support,i spoke to him about my personal feelings that i would never have an abortion,0
"again and again and again, in the middle of the night, at 2 or 3 o'clock in the morning, my government has called me to take extraordinary steps for americans in distress, and again and again and again i have responded. and i didn't wilt and i didn't qui",is a,claim,0
we have to provide health insurance for people at an affordable rate,said in,22-10-2020,0
we've lost credibility around the world,said in,06-10-1996,0
"right now, our country is dying at 1 percent gdp",said in,19-10-2016,0
our real problem here is they both have plans that will not work,is a,claim,0
"saddam hussein is in jail, his government is no longer in power",support,the world is far safer today,0
we know where they're cutting,said in,25-09-1988,0
"if you go with what hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby",said in,19-10-2016,0
we will have 10 million more new jobs,is a,claim,0
you don't get a hand gun,said in,06-10-1996,0
some really bad things,equivalent,there's some bad things going on,0
i have a record of appointing judges in the state of texas,is a,premise,0
"i want a tax cut for education and child rearing, but it's got to be paid for",is a,claim,0
"this is the persian gulf war -- the most important event in his political lifetime and here's what bill clinton says. if it's a close vote, i'd vote with the majority",is a,premise,0
the president's path will mean continuing declining in take-home pay,support,the president's path will mean continuing declining in take-home pay,0
children don't vote and migrant workers exactly a powerful lobby in this country,support,he did it,0
that will come from either raising the cap and/or finding other ways to get more money into it,support,i will not cut benefits,0
he won’t ever look you in the eye and say that’s what he wants to do,said in,29-09-2020,0
we can't have any more instances like what happened when mr. bush went to japan and the japanese prime minister said he felt sympathy for our country,said in,15-10-1992,0
"under vice president gore's plan, they get $145 of tax relief",said in,03-10-2000,0
"finally, a strong diplomatic effort that pursues the possibilities of peace in the area",is a,claim,0
i did disagree with ronald reagan very strongly on trade,support,nobody does it right,0
they concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000,said in,15-10-1992,0
they want leadership from washington,attack,"washington, by itself, can't do it all",0
and there are two very different paths the country can take,attack,"one is a path represented by the president, which at the end of four years would mean we'd have $20 trillion in debt heading towards greece",0
also lessen the chances that other powers will begin to possess a nuclear capacity,support,i feel that another effort should be made by a new administration in january of 1961,0
"some people in high positions of leadership, tell us that the answer is to retreat",is a,claim,0
when we reduce the deficits and we cut interest rates,said in,11-10-1984,0
high tech executives in northern california,said in,19-10-1992,0
"there must be a continued obligation to the people, the some nineteen or twenty million people in taiwan",said in,06-10-1976,0
i have a responsibility to correct him every time he misstates the case,said in,07-10-1960,0
i absolutely used it,is a,claim,0
"it is something that would lead, in my opinion, to war",is a,claim,0
i thought the administration was at the negotiating table in geneva suggesting that we ban mobile missile systems entirely,is a,claim,0
donald's been strongly supported by the nra,is a,claim,0
i don't believe that's in the american people's interest,is a,premise,0
i’m not fighting masks,is a,claim,0
running up the biggest deficits in american history,is a,claim,0
we're a nation that believes in the second amendment,said in,16-10-2012,0
in the reagan recession where unemployment hit 10.8 percent,said in,16-10-2012,0
we're going to have to work with the -- with the people in pakistan to try and help them move to a more responsible course than the one that they're on,is a,claim,0
"increasing the cafe standards to 45 miles per gallon, like you and bill clinton are suggesting, will put, as i said, 300,000 people out of work",is a,claim,0
he did support deregulation almost across the board,support,that's why we got into so much trouble,0
but we’re going to make america safe again,said in,09-10-2016,0
we've done a lot to give the people more powers to make their own decisions over their own lives,attack,i want to give power back to the states and back to the people,0
i think the president of the us ought to apologize,said in,13-10-1992,0
"those words, i’ve been hearing them for many years",is a,claim,0
horribly wounded,is a,premise,0
seniors are not denied,said in,11-10-2012,0
this bill covers 5 percent of the employers,support,95 percent of the employers and all those employees they employ are not covered in this act,0
when i was in the senate before i became vice president i was pushing for stronger action against milosevic,is a,premise,0
i disagree,is a,claim,0
i know we can do better,said in,19-10-1992,0
"if you think i was proud of it, i think you misread me",attack,i'm not proud of that,0
he now says he's going to replace obamacare and ensure that all the good things that are in it are going to be in there and you don't have to worry,is a,premise,0
it was wrong for the country,is a,claim,0
"campaign reform, changing the rules of the game, is something we tried repeatedly in this session of the congress, but only to have the republicans lead the charge against us and defeat us",is a,claim,0
"the second time, with our marines, the gate was open",attack,what was the president's reaction,0
"secretary acheson made a very famous speech at the press club, early in the year that k- korean war started, indicating in effect that south korea was beyond the defense zone of the united states",said in,07-10-1960,0
people need to own,support,we should promote diversity and we should do it the way bob dole has been talking about,0
the most important thing to relieve the pressure on all of the armed forces is frankly to run a foreign policy that recognizes that america is strongest when we are working with real alliances,said in,13-10-2004,0
i don't stand on it,is a,premise,0
i agree with everything she said,said in,09-10-2016,0
i don't think general douglas macarthur would like that too much,is a,claim,0
"we've made it clear, big nations can't bluff",is a,claim,0
i think one thing sooner or later we're going to have to consider is take a look at the social security system,is a,premise,0
i also lower deductions and credits and exemptions,attack,"in order for us not to lose revenue, have the government run out of money",0
of course he's not,support,he's not gonna be better off if we grow the government,0
"same with the latino americans, the hispanic americans",said in,09-10-2016,0
i believe in the president's commission on outdoors,said in,13-10-1988,0
"you may claim you've got mandatory testing but you don't, mr. vice president",said in,03-10-2000,0
we should do everything we can to see that the will of the serbian people expressed in this extraordinary election is done,is a,claim,0
it would not be in the best interests of the united states,attack,to do what senator kennedy has suggested - to suggest that we will surrender these islands or force our chinese nationalist allies to surrender them in advance - is not something that would lead to peace,0
i have said again and again and again let's get off mud wrestling,support,i couldn't agree with you more,0
they want it,is a,claim,0
your doctor chooses your prescription,said in,03-10-2000,0
if i think it's in our nation's strategic interest,is a,claim,0
we want to close that loophole and raise more money in that way,is a,claim,0
i think he ought to be ashamed of mentioning that statement,attack,we're going to see unemployment going down,0
"if you have an elderly parent or grandparent who needs long-term care, then you will get help with that",is a,claim,0
i was in the state senate,said in,22-10-1976,0
it’s a disaster,said in,29-09-2020,0
this has had a devastating impact in a lot of communities,is a,claim,0
"those principles include human rights, human dignity, free enterprise, freedom of expression, elections",is a,premise,0
increase risk taking,said in,25-09-1988,0
"in 1991, he voted against desert storm",said in,05-10-2004,0
i don't want to see the kiddie pornographic laws repealed,support,these are all positions of the aclu,0
"i think the role ought to be limited, there ought to be a time limit on it",is a,claim,0
i think it's very important that we not see these kinds of end runs by this administration,is a,premise,0
wrong,is a,claim,0
"bill clinton says term limits -- we ought to limit terms, it's ridiculous that a member of congress can serve for 30, 40, 50 years, and you limit the terms of the president",is a,claim,0
we have 1.6 million abortions,said in,13-10-1992,0
"that's why we're focusing on an economic policy that has already created ten and a half million new jobs and is going to create millions more within the context, again, of a balanced budget that protects important programs",support,i think that economics is one of the single most important parts of this problem,0
i'm against giving anybody any kind of preference for something they're not qualified for,is a,premise,0
that's not good for our country,support,"bill clinton and i believe that the united states of america has its brightest days ahead, and we will see them even brighter if we promote diversity and harmony among all our people",0
it isn't a question of the number of people who are working in an administration,is a,premise,0
if you’re able to vote in person,said in,29-09-2020,0
we can do that by reducing federal taxes,support,in my judgment the best way to get jobs is to uh - expand the private sector,0
"they would not get one single solitary penny increase in taxes, those small businesses",is a,premise,0
we have to find ways to reestablish it in foreign policy and national security policy,support,i think bipartisanship is a national asset,0
"i think tomorrow morning, the pundits are going to start do the who said what at what time and we'll have proof of some of this",support,"i beg to disagree with you, again, here on whether you supported barack obama or john mccain's strategies",0
he didn't include the defensive practice of medicine,said in,13-10-2004,0
the people who are having the hard time right now are middle- income americans,said in,03-10-2012,0
that is why we are maintaining a deterrent and trying to achieve a deterrent capacity to where no one would believe that they could start such a war and escape with limited damage,support,of course we would,0
we have an arms race underway instead,said in,21-10-1984,0
we need to do well for the rest of the world,is a,premise,0
what has your administration done or planned to do to limit the availability of assault weapons,said in,16-10-2012,0
"when governor clinton was talking to the auto workers, whether he talked about his and senator gore's favoring cafe standards, fuel efficiency standards, of 40 miles per gallon",is a,claim,0
back after world war ii when we had hundreds of thousands of gis who came back from the war,is a,premise,0
i believe that assad must go,support,i believe he will go,0
you also provide opportunity scholarships so low income parents will have the same choice that others have in sending their children to better schools,said in,06-10-1996,0
i don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else,is a,premise,0
a plan is not to lay out programs that you can't pay for,is a,claim,0
these projections have been very carefully made,said in,23-09-1976,0
say it,said in,29-09-2020,0
not enough,is a,claim,0
it's also a curious thing for him to say,is a,premise,0
we don't have it to spend,is a,premise,0
that's the kind of campaign reform that republicans are for,is a,claim,0
every embassy and consulate in the region,is a,claim,0
i don't believe raising taxes is the way to solve our environmental problems,attack,"i believe that we have a mandate to try to solve this problem, particularly when we can do it while we create jobs in the process",0
we want to reform the legal system because it's too costly,attack,bill clinton wants the status quo,0
iran is flying flights over iraq,is a,claim,0
maybe he's not as charitable as he claims to be,support,i think there may be a couple of reasons,0
i have a big difference with mrs. ferraro on that one,is a,premise,0
it's the toughest job on earth,support,i think that's what leadership is all about,0
"we can't dictate the terms of peace, which means that you have to be steady",attack,we can't put the middle east peace process on our timetable,0
answer is the rich are paying 6 percent more on taxes and the poor are getting a better break,is a,claim,0
it's what we stand for,equivalent,it's what we are,0
i was deeply concerned about seniors having to choose between prescription drugs and food,said in,13-10-2004,0
we haven't met our problems in the united states,support,i believe that the polls and other studies and votes in the united nations and anyone reading the paper and any citizen of the united states must come to the conclusion that the united states no longer carries the same image of a vital society on the move with its brightest days ahead as it carried a decade or two decades ago,0
one of the reasons we have an instant background check is so that we instantly know whether or not somebody should have a gun or not,support,i support instant background checks at gun shows,0
to have health care for their children,said in,22-10-2020,0
i know what it's like to have your comrades reach out to you and your neighbors and your fellow citizens and pick you up and put you back in the fight,said in,07-10-2008,0
i was there when ronald reagan tax breaks,said in,11-10-2012,0
"we have to take the same kind of steady, thoughtful leadership when it comes to syria",support,that's exactly what we're doing,0
"we need a strong, credible, effective nuclear deterrent",is a,premise,0
that's what she told me her husband understood,support,missy understood that,0
"when he told me this story, he said it wasn't the help, the cash help",support,he cares about 100 percent of americans in this country,0
put together coalitions of republicans and democrats,support,he will make a first rate president,0
i would say almost everything i see is from the left-wing not from the right wing,said in,29-09-2020,0
"it's a very, very significant piece of legislation",support,it'll provide prescription drug benefits to 40 million senior citizens,0
we have a plan for success,said in,05-10-2004,0
we never change our beliefs,is a,premise,0
look at the votes in the united nations over the past seven and a half years,said in,07-10-1960,0
we can have a tax cut,support,my priority would be to help the families who need it with child rearing and education and buying a first-time home and helping for health care costs,0
we ought to do is make those who wear the uniforms sacrifice,support,it's time we take a look at the pay scales,0
"at home, we'll do everything we can to protect the homeland",is a,claim,0
instead we're relying on foreign countries to produce for us,said in,02-10-2008,0
"this from wall street and i’ll create $1 trillion more in economic growth than his proposal does, not on climate just on the economy",said in,22-10-2020,0
"effective economic sanctions, and a very robust inspection regime was in place under the u.n. auspices",support,"it was able to do a good job of stripping out the capacity to build weapons of mass destruction, the work he had been doing that had not been destroyed during the war in biological and chemical agents, as well as a nuclear program",0
we have to learn from the past,said in,21-10-1960,0
if he or representatives of the administration are either with or involving people like noriega in our foreign policy,is a,premise,0
"if you make bad investments, that's too bad",is a,premise,0
"we haven't done it, as in north korea",support,they're a member of the axis of evil,0
that is the present american position,is a,claim,0
"why can’t they do something secretively, where they go in and they knock out the leadership",attack,why would these people stay there,0
"if you have an elderly parent or grandparent who needs long-term care, then you will get help with that",said in,17-10-2000,0
this is the typical type of clinton response,said in,13-10-1992,0
it's also really troubling,is a,claim,0
we're going to grow some of these jobs in america,said in,16-10-1996,0
they came after me trying to do a coup,is a,premise,0
the strength that we have shown in iran is shown by the fact that we've been able to mobilize the world,said in,22-10-2012,0
there was a right way to disarm him and a wrong way. and the president chose the wrong way,is a,claim,0
we just have a web of wrong-way incentives that has to be changed by some people who are in the medical profession and some other crafty people who know how to write contracts to change incentives or get -- get the -- the incentives situation under control,said in,13-10-1992,0
everybody's playing by the same rules,is a,claim,0
i don't believe that that's the kind of policy that we want,said in,05-10-1988,0
i have a little foundation for the disabled called the dole foundation,is a,claim,0
we are committed to cutting back anything in our programs that need to be cut back to get us back on a path to fiscal responsibility,is a,claim,0
i think he did,is a,claim,0
"if you look at the data that's available, 40% of our army helicopters are not combat ready",is a,claim,0
it was a good idea,said in,11-10-2012,0
it has the highest poverty rate in the country,is a,premise,0
"i will tell you, we are cutting them big league for the middle class",support,we’re cutting taxes for the middle class,0
i think were on the right track in agriculture and i am very very encouraged,is a,claim,0
we didn't think halliburton should have a no-bid contract,is a,claim,0
"95% of all the alaska lands, where it is suspected or believed that minerals might exist",said in,28-10-1980,0
"governor reagan, as a matter of fact, began his political career campaigning around this nation against medicare",said in,28-10-1980,0
we've never had citizenship tests in our country before,support,i think that's wrong,0
"that's why we're focusing on an economic policy that has already created ten and a half million new jobs and is going to create millions more within the context, again, of a balanced budget that protects important programs",said in,09-10-1996,0
we have focused especially on the most distressed areas,is a,premise,0
we pull together as a nation,said in,11-10-2012,0
"right now, the cbo says up to 20 million people will lose their insurance as obamacare goes into effect next year",said in,03-10-2012,0
"general george patton, general douglas macarthur are spinning in their grave at the stupidity of what we’re doing in the middle east",attack,"everybody’s talking about how iraq, which is us with our leadership, goes in to fight mosul",0
we don't think we ought to buy into this false choice that somehow we cannot develop energy resources without being cautious with the environment,said in,05-10-2000,0
our nation needs to be credible and strong,is a,claim,0
the most recent and troubling of these has been russia,is a,premise,0
"because of our leadership, because we didn't listen to the freeze -- the nuclear-freeze group, do you remember -- freeze it, back in the late 70s -- freeze, don't touch it; we're going to lock it in now or else we'll have war",support,i think i got a good plan to help fix those problems at home,0
"no one making less than $250,000 under barack obama's plan will see one single penny of their tax raised whether it's their capital gains tax, their income tax, investment tax, any tax",said in,02-10-2008,0
they have to be held accountable,said in,29-09-2020,0
"it's about getting 12 million jobs, higher take-home pay, getting people out of poverty into the middle class",said in,11-10-2012,0
"i don't disagree with anything that the president said, except he waited four years to do these things",is a,claim,0
"before you solve it, you have to say the name",said in,09-10-2016,0
"i would be a president for all of the people, african-americans, the inner cities",attack,devastating what’s happening to our inner cities,0
not me,is a,premise,0
you're equally an american if you choose to worship an almighty and if you choose not to,is a,claim,0
i will not stand for a tax increase on small business income,is a,claim,0
it doesn’t get done,is a,claim,0
"we've become very, very sloppy",support,i'm going to create a -- the kind of a country that we were from the standpoint of industry,0
"one thing i did was oppose the government takeover health care that president clinton offered in 1993, which created 17 new taxes and 50 new bureaucracies and price controls",is a,premise,0
"first of all, for the creation of a $4 billion urban reinvestment trust fund to do exactly what you spoke about in your question - to rebuild the streets, to rebuild the cities, the leaking water mains",is a,premise,0
they’re the red states,is a,claim,0
"let's get off personalities and let's talk about jobs, health care, crime, the things that concern the american people",is a,claim,0
we've already 75 percent of his people,is a,claim,0
i think they ought to remember that one vote can make a lot of difference,said in,28-10-1980,0
all these other proposals are going to be a lot easier to get passed for the american people,is a,claim,0
i say a majority of the republicans are opposed to it,said in,26-09-1960,0
reaching an agreement with the soviets is the most important thing in the world to you,support,with respect to the soviet union you want to negotiate a mutual nuclear freeze,0
"in some cases, they’re murderers, drug lords, drug problems",said in,09-10-2016,0
"we're fighting terrorists, and we're securing democracy, and we're building schools for children there so that there is opportunity in that country, also",is a,claim,0
"under me, when i lead this country, the secretary of defense is going to have to make the choices, between how we keep, how we protect the survivability of our nuclear deployment on the midgetman missile, or on the minuteman",is a,claim,0
i will not cut our commitment to our military,attack,the president's reelected you'll see dramatic cuts to our military,0
we need to deal with managed care,support,"17 new taxes, price controls, 50 new bureaucracies",0
"i went to a school in dade county, florida where the facilities are so overcrowded the children have to eat lunch in shifts with the first shift for lunch starting at 9:30 in the morning",support,this is a funding crisis all around the country,0
i will never stop at anything to hunt down and kill the terrorists,is a,claim,0
i think is a mistake,is a,claim,0
a weapons system we don't need and can't afford,is a,premise,0
in the sense that we can work to help mexico rebuild and expand and deal with these very serious economic problems we help our farmers at the same time,is a,claim,0
"exaggerations like, for example, only 5% of seniors receive benefits under my medicare reform package",said in,11-10-2000,0
i have a plan for energy independence within 10 years,support,that's how you create jobs and become competitive,0
iran has power over north korea,is a,claim,0
"that budget that you passed that i vetoed would have cut 50,000 kids out of headstart",is a,claim,0
"look, we have spent more money -- we spend more money in three weeks on combat in iraq than we spent on the entirety of the last seven years that we have been in afghanistan building that country",is a,claim,0
people got their checks,support,they'll continue to get their checks,0
the governor is the chief executive officer,is a,claim,0
to provide prescription drug coverage for them and give them a range of choices in terms of the kind of insurance we have,said in,05-10-2000,0
we're going to hold people accountable,is a,claim,0
their budget weakened our support for education,said in,06-10-1996,0
they want the equal rights amendment ratified,said in,07-10-1984,0
"we have a good, stable economic policy",is a,premise,0
they see ethical problems in the whitehouse today,said in,16-10-1996,0
"when we had osama bin laden cornered, they left the job to the afghan warlords",said in,05-10-2004,0
"2 former defense secretaries recently issued a report saying that 100,000 or slightly fewer troops would be enough, including president reagan's former defense secretary, mr. carlucci",said in,11-10-1992,0
"we ought to go back to a little bit of ronald reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as senator obama said he did twice",is a,claim,0
"the reality you and george bush continue to tell people, first, that things are going well in iraq -- the american people don't need us to explain this to them",is a,premise,0
the best way to take the pressure off our troops is to succeed in iraq,is a,premise,0
"we have gone from first to thirteenth in wages in the world in the last twelve years, since mr. bush and mr. reagan have been in",said in,11-10-1992,0
investing in the middle class,support,those are the kinds of things that will really boost the economy,0
the president does have a commitment from boris yeltsin to eliminate the ss-18s,is a,claim,0
the budget that we are talking about is not reducing our military spending,is a,premise,0
take a look at what happened in virginia and other places,said in,29-09-2020,0
senator's - kennedy's statement that he's just made is not going to help our gallup polls abroad and it isn't going to help our prestige either,is a,premise,0
now less than a third of our people can afford to buy their own homes,said in,22-10-1976,0
i simply do not want to make these unilateral cuts,is a,claim,0
that the money wouldn't go into the hands of a few but would go to help people,is a,claim,0
he’s the racist,is a,claim,0
when he gave you that biggest tax increase in history,is a,premise,0
we have gasoline price rises in various other places,is a,claim,0
"i was born to a widowed mother who gave me family values, and grandparents",is a,claim,0
there are a million and a half people out there standing in line waiting to adopt children who can't have them any other way,is a,claim,0
"not by the tax-and-spend program that we hear every 4 years, whether it's mondale, dukakis, whoever else it is",said in,11-10-1992,0
we're in an information age when learning is more important than ever,is a,premise,0
i don't think it provides effective governmental controls,is a,claim,0
"you can run, but you can't hide",said in,08-10-2004,0
"the voluntary thing that i suggested many years ago was that with a young man orphaned and raised by an aunt who died, his aunt was ineligible for social security insurance because she was not his mother",is a,claim,0
"the day obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen",is a,premise,0
"six months after he said osama bin laden must be caught dead or alive, this president was asked, ""where is osama bin laden",said in,13-10-2004,0
our plan gives a $1500 tax credit to make that junior college essentially free,is a,premise,0
they can look at my track record,said in,22-10-2012,0
we'll continue to guarantee the peace in europe,said in,15-10-1992,0
if the situation wasn't corrected it could lead to a national disaster,support,"higher salaries for teachers, you added, were important",0
"because they want—and president obama and whoever was working on it—they want to leave those lines, because that gives the insurance companies essentially monopolies",said in,09-10-2016,0
"all these fellows with thousand-dollar suits and alligator shoes running up and down the halls of congress that make policy now, the lobbyists, the pac guys, the foreign lobbyists, what have you, they'll be over there in the smithsonian -- [laughter] -- because we're going to get rid of them",support,the congress will be listening to the people,0
i know talks have started again today,is a,claim,0
"what we're doing is saying that there are opportunities, business opportunities, educational opportunities, responsibilities uh - where people with talent, black or any other minority, can fully qualify",support,i'm proud of the record,0
"my plan would dedicate $20 billion a year in each of the next 4 years for investments in new transportation, communications, environmental clean-ups and new technologies for the 21st century",is a,claim,0
that's progress with the environment,is a,claim,0
"despite his pledge to reduce state government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office",said in,21-09-1980,0
i'm going to send a plan to do this within the first 100 days of my presidency,said in,15-10-1992,0
we can come to grips with the penalty side,is a,claim,0
they always do,is a,claim,0
do you feel safer,attack,"when you get on an airplane, your bag is x- rayed, but the cargo hold isn't x-rayed",0
"the most serious terrorist threat is if one of those radical nations, who believe in terrorism as a policy, should have atomic weapons",support,i and all my predecessors have had a deep commitment to controlling the proliferation of nuclear weapons,0
he hasn't told us where,said in,25-09-1988,0
this is about american jobs and opportunities,is a,claim,0
"and while i was there i worked on a bipartisan basis, as i did in the house, i worked with former president reagan on the modernization of our strategic weaponry",support,i've worked on that long and hard,0
i think you've got to look at how one has handled responsibility in office,is a,claim,0
he's done nothing about it,said in,08-10-2004,0
i was against the war,equivalent,i was against the war in iraq,0
"we've always wanted to do better, to make our country better, to make our lives better",said in,13-10-1988,0
we are in a very difficult position,said in,21-10-1960,0
even before then the problem hits because the money contributed to social security this year is an entitlement,said in,03-10-2000,0
that would make war imminent,said in,21-10-1984,0
we will be in there together and we will figure out what to do,is a,claim,0
"different people measure different things -- the koran, the torah",support,everything is a gift from the almighty,0
"we have a coal supply that is equal to 50% of the world's coal supply, good for centuries, in this country",said in,21-09-1980,0
"no, they took that into account in those figures",attack,the uh - the assumption that - that you uh - have described as different is in the rate of growth of our economy,0
we thought he had weapons of mass destruction,said in,08-10-2004,0
"his experience, his ideas, his solutions -- is uniquely qualified to get this job done",said in,11-10-2012,0
that is the true way i feel,equivalent,that's the way i feel,0
"they are active in countries like -- in regions like latin america, and asia, and africa",said in,26-09-2008,0
"china, germany, they're making these investments",is a,premise,0
"values, judgment, and the record that i have amassed in my state also should count for something",support,it's not everything,0
or actually whether it was a terrorist attack,support,there were many days that passed before we knew whether this was a spontaneous demonstration,0
the united states does not concede that those countries are under the domination of the soviet union,is a,premise,0
i think that's all wrong,support,i think for a while as a nation we condoned those things we should have condemned,0
i wasn't just getting more power and more power,is a,premise,0
"people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession",is a,claim,0
i think a targeted tax cut is better for our future,is a,claim,0
we've got to reverse this,said in,15-10-2008,0
i think we ought to raise the age at which juveniles can have a gun,support,to me that's how you make society the safest it can be,0
we have to repeal and replace obamacare,equivalent,one thing we have to do: repeal and replace the disaster known as obamacare,0
i was able to do that in my state and bring these two together,said in,16-10-2012,0
i’ve heard this question from a lot of muslim-americans across our country,is a,premise,0
the president said he would exhaust the remedies of the united nations and go through that full process. he didn't,is a,claim,0
this president believes we are at our capacity,said in,09-10-1996,0
"i'm pleased to see, dick, from the newspapers that you're better off than you were eight years ago, too",said in,05-10-2000,0
i didn't raid the pension fund of massachusetts,is a,premise,0
