relation	head	tail
__label__Attack	I proposed one to the Congress two years ago, encourages conservation, encourages technology to explore for environmentally friendly ways for coal -- to use coal and gas	It's stuck in the Senate
__label__Support	if you taxed every person and successful business making over $250,000 at 100 percent, it would only run the government for 98 days	we think that government taking 28 percent of a family and business's income is enough
__label__Support	we now have the highest uh - surpluses - nine billion dollars worth.	The dropping of the support price in order to limit production does not work,
__label__Support	I traveled to Waziristan	I know what our security requirements are
__label__Support	They learn to think well or poorly of themselves in the first 18 months	Cheapest money you'll ever spend
__label__Support	And in conference -- we stayed with them in conference all the way to where even Senator Simpson did not want the bill in the manner in which it would come out of the conference committee	there were things added in in the House side that we felt made it less of a good bill
__label__Support	I remember 1973 in the depth of the uh - energy crisis when President Nixon called on the American people to make a sacrifice, to cut down on the waste of uh - gasoline, to cut down on the uh - speed of automobiles	I think that this uh - is one example where uh - a lot of people have selfish, grasping ideas now
__label__Support	This risky scheme that I've described tonight has been said by many objective observers to not add up	it would be a serious risk
__label__Attack	That’s a big statement.	I would transition from the oil industry, yes
__label__Support	the President gets millions of dollars from the trial lawyers	he probably doesn't like this provision
__label__Support	I don't want to see the Federal Government licensing grandmothers	I want the families to have the choice
__label__Support	there was no viable exit strategy	That's exactly where we find ourselves today
__label__Support	Our people will be glad to furnish the press, if they're interested, in Senator Gore's voting record on the Caribbean Basin Initiative.	You voted for it
__label__Attack	Americans shouldn't have gone there in the first place, had we let them defend themselves, as they have a right to do under Article 57 of the United Nations charter	You got to send down some more people, because the president's found out there are death squads on his on his, in his own property
__label__Support	It's your money	I want to spend 14 percent more and give that 6 percent back to the people
__label__Support	he was required to do so	the reason they enforced them because under the law they're required to do that
__label__Support	it is sort of amusing to hear somebody who hasn’t paid federal income taxes in maybe 20 years talking about what he’s going to do	His plan will give the wealthy and corporations the biggest tax cuts they’ve ever had, more than the Bush tax cuts by at least a factor of two
__label__Support	That is absolutely outrageous	We do not have any program that encourages companies to close down here and to go and invest on foreign soil
__label__Support	Many of her friends took bigger deductions	Warren Buffett took a massive deduction
__label__Attack	I complain about that	You're 150 -- excuse me, I think it's a little more, about $100 million shy of what you ought to be under the No Child Left Behind Act to help your education system here
__label__Support	It requires taking as much as a trillion dollars out of the Social Security fund	The deeper I got the drier the well became and it seemed to me at the end it was going to dry up Social Security
__label__Support	he failed to achieve that	if we had the status-of-forces agreement that the vice president said he would bet his vice presidency on in Iraq, we probably would have been able to prevent that
__label__Equivalent	I vetoed it	I vetoed the strip-mining bill
__label__Support	"That's how we repealed ""don't ask/don't tell."""	I will take ideas from anybody, Democrat or Republican, as long as they're advancing the cause of making middle-class families stronger and giving ladders of opportunity to the middle class
__label__Support	what happened right after the election is they proposed to cut Social Security benefits by 25 percent	people know what happened
__label__Support	That shows that there's been more growth in this Administration than in its predecessor.	I believe that we have the secret for progress, we know the way to progress.
__label__Support	something, though, that I think uh - is indicative of the need among the American people to know how its commander-in-chief, the president, feels	I think the only criticism that I would have uh - on - of Mr. Ford is that uh - immediately when the statement was re - re - revealed, uh - perhaps a - a statement from the president would have been a clarifying and a very beneficial thing
__label__Support	He has promised a trillion dollars out of the Social Security Trust Fund for young working adults to invest and save on their own	he's promised seniors that their Social Security benefits will not be cut, and he's promised the same trillion dollars to them
__label__Support	that is not right	Everybody who pays taxes ought to get some relief
__label__Attack	We are making significant progress there	One-third of our public schools are failing under this administration
__label__Support	Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?	I say that not as the Democratic standard-bearer, but as a citizen of the United States who is concerned about the United States
__label__Support	he immediately goes to denying responsibility	He never apologizes or says he's sorry for anything
__label__Support	through this economic crisis, most of the people that I know have had a difficult time	through this bailout package, I was wondering what it is that's going to actually help those people out
__label__Support	We also have to see that all of the people of the United States - the tremendous talents that our people have - are used adequately	it's for the benefit of the nation so that we can get the scientists and the engineers and all the rest that we need
__label__Support	you have to have a little bit of experience to know where to start	I think I've had that
__label__Attack	The uh - description just made of this administration's record is hard to uh - recognize	the Department of Justice is fully enforcing, and enforcing effectively, the Voting Rights Act, the legislation that involves jobs, housing for minorities, not only blacks but all others
__label__Support	We came here loving this nation, serving it, and it has served all of our most bountiful dreams	it must be an American answer that is consistent with justice and due process
__label__Support	we know how to do it	I believe that we will be able to get a fix that has alluded everybody else
__label__Support	another system is where uhh - a dentist can invest money in say, raising cattle and uh - can put in a hundred thousand dollars of his own money, borrow nine hundred thousand dollars - nine hundred mi- thousand dollars - that makes a million - and mark off a great amount of uh - of loss uh - through that procedure	these special kinds of programs have - have robbed the average taxpayer and have benefited those who are powerful, and who can employ lobbyists, and who can have their CPAs and their lawyers to help them benefit from the roughly uh - eight thousand pages of the tax code
__label__Support	In 1987, you wrote a letter, and we'll pass this out to the media	At one time, and most of the time in the House of Representatives, you had a pro-life position
__label__Support	We have NATO allies helping us for one	the counterinsurgency principles could work in Afghanistan
__label__Support	we spent a lot of time with them	I was honored to speak to those troops
__label__Support	their leaders will change in not too many years	time is our friend there
__label__Support	if it’s me	fine.
__label__Support	Far too expensive.	It’s very bad, very bad health insurance
__label__Support	It is absolutely important that we have a unified alliance and that we explain to the Russians that you cannot be a 21st-century superpower, or power, and act like a 20th-century dictatorship	it is absolutely critical for the next president to make clear that we have to follow through on our six-party -- or the six-point cease-fire
__label__Equivalent	that's the debate	That's the great issue
__label__Support	The worst thing that I can think can happen in this campaign would be for it to be decided on religious issues	I will not tolerate it
__label__Support	a bill that has trained and employed over three million economically disadvantaged youth and adults in this country	In the area of jobs and education, I wrote the Job Training Partnership Act, a bipartisan bill
__label__Attack	I’m not going to answer the question.	He doesn’t want to answer the question
__label__Support	I know what it's like to see somebody you love nearly lose their lives	I hate drugs
__label__Support	I'll give you one, that HMET, that heavy truck, that's cost what is it $850 million and the Pentagon didn't request it and, yet, a member of Congress, a very powerful one, put it in the budget	I think we can save money through this whole very sophisticated concept
__label__Attack	the test is that you've done everything possible to make America secure	He chose a tax cut for wealthy Americans over the things that I listed to you
__label__Support	You don't measure it by a percentage increase	Mr. President, you measure it by whether you're getting the job done
__label__Equivalent	I support school choice	I support school choice
__label__Support	Let's look at this from the view of the ayatollahs	They are not changing their mind
__label__Support	It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government	that communique, calls for the normalization of relations between the United States and the People's Republic
__label__Support	I know Barbara and I are doing well	it's darn sure that Mr. Mondale is doing well, with a million four in income
__label__Attack	for me to try, in this very pluralistic society of ours, to try to frame any definition, whatever, of what that belief should be, is wrong	I have said freely, all over this country, that it was a mistake for me or anyone to ever try to put the Judeo-Christian heritage of this country, important as it is, and important as my religious faith is to me - it's a very deeply personal matter
__label__Attack	In citing John F. Kennedy's tax cut in the 1960s, I want to also remind you that Mr. Kemp has pointed out in the past, Bob Dole was in the Congress then. He was one of those who voted against John F. Kennedy's tax cut	if the purpose of the tax code is to raise revenue. We ought to think, as John F. Kennedy did, about lowering the rates
__label__Support	we cannot guarantee equal results in America	That's not how America became the greatest country on the face of the earth
__label__Attack	I think those are the wrong priorities	his tax cut plan, for example, raises the question of whether it's the right choice for the country
__label__Support	this is just a difference of opinion	It's either unfair for some or unfair for all
__label__Support	Obviously, we've poured billions of dollars into airport security	I think that we are safer in some ways
__label__Attack	the American taxpayer ought to be glad they have a president to stand up to a spending Congress	he asked Congress to spend more money than it actually spent
__label__Support	Under Vice President Gore's plan, he is going to grow the federal government in the largest increase since Lyndon Baines Johnson in 1965	We're talking about a massive government
__label__Attack	That’s something that I fought against as a senator and that I would have a trade prosecutor to make sure that we don’t get taken advantage of by China on steel or anything else	China is illegally dumping steel in the United States and Donald Trump is buying it to build his buildings, putting steelworkers and American steel plants out of business
__label__Attack	I've said mistakes were made	I have long ago said I supported the president on this other matter
__label__Support	At the beginning of our history, that promise that ideal was not realized or experienced by all Americans, but over time since then we have extended the orbit of that promise	In our time at the frontier of that effort is extending those kinds of rights to gay and lesbian Americans who are citizens of this country and children of the same awesome God just as much as any of the rest of us are
__label__Attack	I'm using the same words that your advisers use	Senator Obama is parsing words when he says precondition means preparation
__label__Support	my opponent voted against the use of force	Apparently you can't pass any test under his vision of the world
__label__Support	that is a tremendous life-saving change which will help people carry on their education	We're saving money to invest in education
__label__Support	Mr. Perot will tell you, for example, that the expert he hired to analyze his plan says that it will bring the deficit down in 5 years but it will make unemployment bad for 4 more years	it would even make the economy worse
__label__Support	I never say anything I don't mean	my record stands for itself
__label__Attack	I think Governor Romney's going to have a busy first day	as president, I will sit on day one -- actually, the day after I get elected -- I'll sit down with leaders -- the Democratic leaders, as well as Republican leaders, and continue -- as we did in my state
__label__Support	there's got to be pre-conditions	I'll sit down with anybody
__label__Support	It's fair	They deserve the tax breaks, not the super wealthy who are doing pretty well
__label__Support	A capital gains differential will increase jobs	increase risk taking
__label__Attack	though they are a problem	it's starting to fall apart not because of lawsuits
__label__Support	When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues	Firmness but no belligerence, and by no belligerence I mean that we do not answer insult by insult
__label__Support	gave some assurance that he really wanted to sit down and talk and to accomplish something and not just to make propaganda	We must not build up the hopes of the world and then dash them as was the case in Paris
__label__Support	But I want to touch on this is tobacco thing.	I know the President's been puffing a lot on that.
__label__Support	that's the way I've conducted myself as Governor of Texas	that's the way I'll conduct myself as President of the United States
__label__Attack	And that's what John McCain and I would engage in also	some of these dictators who hate America and hate what we stand for, with our freedoms, our democracy, our tolerance, our respect for women's rights, those who would try to destroy what we stand for cannot be met with just sitting down on a presidential level as Barack Obama had said he would be willing to do.
__label__Support	we've got to make sure that we're competing in education	we've got to do structurally to make sure that we can compete in this global economy
__label__Support	You know, no one had ever heard of Clarence Gideon, the man without a lawyer	he did it
__label__Support	dynamic, growing economy that promotes opportunity and jobs	The choice is clear
__label__Support	yes, we can do better on interdiction	We have to change this whole culture
__label__Support	each and every one of us can start thinking about how can we save energy in our homes, in our buildings	We're going to have to develop clean coal technology and safe ways to store nuclear energy
__label__Attack	those are the wrong priorities	he spends more money on a tax cut for the wealthiest 1% than all his new proposals for prescription drugs, healthcare, education, and national defense combined
__label__Support	They have poor-quality health care	just look at other countries that have tried to have federally controlled health care
__label__Equivalent	I'll get him	I'll get Osama bin Laden
__label__Support	People who pay taxes will get tax relief	Of course it does
__label__Support	they have backed off from providing this kind of vaccine	I'm such a strong believer in legal reform
__label__Attack	we should be allowing bankruptcy courts to be able to re-adjust not just the interest rate you're paying on your mortgage to be able to stay in your home, but be able to adjust the principal that you owe, the principal that you owe	I believe John McCain and the governor don't support that
__label__Support	It would be a game-changer in the region	We cannot allow Iran to get a nuclear weapon
__label__Attack	I'm certainly not going to say to him, I'll give you more flexibility after the election	I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin
__label__Support	I have worked with Latinos—one of my first jobs in politics was down in south Texas registering Latino citizens to be able to vote	So I have a deep devotion, to use your absolutely correct word, to making sure that every American feels like he or she has a place in our country
__label__Support	This president didn't stand up for Boeing when Airbus was violating international rules and subsidies	I blame the president for the things the president could do that has an impact on it
__label__Support	I'm going to change that	I'm going to put in place a better homeland security effort
__label__Equivalent	What we would like to be able to do is to look for ways to reach across the divide between the two points of view and find things that we can do together to reduce the incidence of abortion	We want to reduce the incidence of abortion on our society
__label__Support	I noticed recently that Governor Reagan frequently quotes Democratic presidents in his acceptance address	it is good fo the American people to remember that there is a sharp basic historical difference between Governor Reagan and me on these crucial issues - also, between the two parties that we represent
__label__Support	That's what we've done, made some adjustments to it, and we're putting it forward before Congress right now, a $4 trillion plan	If you wanted to make some adjustments to it, take it, go to Congress, fight for it
__label__Support	it's not that many	That's a scare tactic
__label__Support	He’s, he’s fixed it.	I’m proud of him.
__label__Support	We can care for our own poor in so much better and more effective a way than having the federal government tell us how to care for our poor	one of the magnificent things about this country is the whole idea that states are the laboratories of democracy
__label__Support	Crime has come down the last 2 years, for the first time in many, many decades that it has come down -- or since we've kept records -- 2 consecutive years, and last year it came down the biggest drop in crime that we've had.	There are tasks that government legitimately should enforce and tasks that government performs well
__label__Support	That's not the position he's taking	He's indicating that we should fight for these islands come what may because they are, in his words, in the area of freedom
__label__Support	Ninety-eight percent of America, I'm giving you a tax cut	all of that can happen
__label__Support	I grew up in the segregated south, thankfully raised by a grandfather with almost no formal education but with a heart of gold who taught me early that all people were equal in the eyes of God	I have devoted a major portion of this campaign to going across this country and looking for opportunities to go to white groups and African-American groups and Latino groups, Asian-American groups and say the same thing
__label__Support	You got a lot of women running for office	I think we're making progress here
__label__Support	Our Government has, in the last year or so, taken out of multiple use millions of acres of public lands that once were - well, they were public lands subject to multiple use - exploration for minerals and so forth	It is believed that probably 70% of the potential oil in the United States is probably hidden in those lands, and no one is allowed to even go and explore to find out if it is there
__label__Attack	don't run her down in order to build her up	No longer do we give the image of being on the rise
__label__Support	is to train Iraqis so they can do the hard work of democracy	The best way to take the pressure off our troops is to succeed in Iraq
__label__Support	over here in this Senate committee to the chairman who is anxious to get this bill passed	That's the way I would do it
__label__Attack	the question our country must answer is that this is not who we are	So this is who Donald Trump is
__label__Attack	The ideas I express are mine	I don't have any spin doctors
__label__Support	All have to do is agree to refurbish it, make it habitable, and live in it - just as 100 or more years ago, we did with the open land in this country - urban . or country homesteading	We could have an urban homestead act
__label__Support	we also believe that gay and lesbians and gay and lesbian couples, those who have been in long-term relationships, deserve to be treated respectfully, they deserve to have benefits	I think we've both said the same thing all along
__label__Support	John Kerry has consistently supported the very men that he served with in Vietnam and led	For our troops, we must have a plan to win the peace
__label__Support	Our nation in the last eight years has been divided as never before	It's a time for unity
__label__Support	Unemployment is up	The experience that George Bush and Dan Quayle have been talking about includes the worst economic performance since the Great Depression
__label__Support	in the meantime, we'll have a plan to help poor seniors and in the meantime it could be one year or two years	I'm going to work with Democrats and Republicans to reform the system
__label__Support	we are spending billions of dollars on missile defense	we still have a long way to go
__label__Support	I want to cut that business tax	I want to cut it so that businesses will remain in -- in the United States of America and create jobs
__label__Support	we created an environment for the entrepreneurial spirit to be strong	Minority ownership of businesses are up
__label__Attack	Everybody making more than $36,000 a year will have their taxes increased if Bill Clinton is president of the US	I don't know how you're going to go to urban America and say that raising taxes is good for you
__label__Support	The power of that concept is enormous	it will apply in Afghanistan
__label__Support	they are the states in the upper Midwest	They’re the red states.
__label__Support	And then I went down to the border towns of Storok (ph), which had experienced missiles raining dowm from Hamas	I saw families there who showed me there where missiles had come down near their children's bedrooms
__label__Support	What they try to do time and time again is to scare the old people of this country	John, you are right: they use this for political advantage
__label__Support	There's a difference in my opinion	I advocate pardon
__label__Support	Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession	the last thing we need to do is to go back to the policies that failed us in the first place
__label__Support	In Georgia alone, for instance, I got 84 percent of the vote	I have a direct relationship with hundreds of people around - hundreds of thousands around the country who actively campaign for me
__label__Support	Your proposal it to raise $150 billion in taxes	itâ€™s what are you going to do about it?
__label__Support	big enough and strong enough for all of us to walk across	we can build that bridge to the 21st Century
__label__Attack	I think I just heard Mrs. Ferraro say that she would do away with all covert actions	I don't support that kind of activity
__label__Support	This is a serious threat to security in the world	I believe we can act and we can act with our friends and allies and reduce that threat as quickly as possible
__label__Support	not after students, not after folks	if we're going to go after folks who are here illegally, we should do it smartly and go after folks who are criminals, gang bangers, people who are hurting the community
__label__Support	That's what elections are all about	I do believe that no one in this country should be denied the right to express themselves, or to even try to persuade others to follow their leader
__label__Support	they didn't have the tanks	They didn't get the tanks from this administration
__label__Support	we're spending too much still	it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little. It is that we are continuing to spend too much.
__label__Support	one of the magnificent things about this country is the whole idea that states are the laboratories of democracy	I would like to take the Medicaid dollars that go to states and say to a state, you're going to get what you got last year, plus inflation, plus 1 percent, and then you're going to manage your care for your poor in the way you think best
__label__Support	With regard to the employer sanctions, we must have that	We don't think that those people should be allowed to continue operating free
__label__Support	I've been a member of Congress for six years	I've seen what has happened in the past several months; seventeen months of your administration
__label__Support	in The Wall Street Journal early this week, that a preliminary report of his task force advocates making Social Security more sound by reducing the adjustment in Social Security for the retired people to compensate for the impact of inflation	These kinds of approaches are very dangerous to the security, the well being and the peace of mind of the retired people of this country and those approaching retirement age
__label__Support	We need the missile	I happen to support and believe in the missile, itself
__label__Support	it's based on our values	by itself, that to me can bring into play a fundamental American strategic interest
__label__Attack	If we had taken your advice Governor Romney about our auto industry, we'd be buying cars from China instead of selling cars to China	Governor Romney's right, you are familiar with jobs being shipped overseas
__label__Support	very carefully considered to stimulate jobs	our proposals are very sound
__label__Support	I believe the evidence is that our deployments have been successful	I believe the United States is at peace tonight in part because of the disciplined, careful, effective deployment of our military resources
__label__Attack	When I was in the United States Congress, I worked with former President Reagan to modernize our strategic weaponry and to pursue arms control in a responsible way	One of the key points in foreign policy and national security policy is the need to re-establish the old-fashioned principle that politics ought to stop at the water's edge
__label__Support	Over the last eight years, we've seen that dream diminish	we can't expect that if we do the same things that we've been doing over the last eight years, that somehow we are going to have a different outcome
__label__Support	"You don't have to take my word for it. ""Time,"" ""Newsweek,"" ""U.S. News &amp; World Report,"" ""Business Week,"" 83 percent of hundreds of economists in a random survey just recently all said it would blow a hole in the deficit"	This risky tax scheme would blow a hole in the deficit
__label__Support	They shouldn't misuse their bench	I believe that the judges ought not to take the place of the legislative branch of government
__label__Support	ISIS happened a number of years ago in a vacuum that was left because of bad judgment	And I will tell you, I will take care of ISIS
__label__Support	we not ship any more atomic fuel to a country that refuses to comply with strict controls over the waste which can be reprocessed into explosives	the nonproliferation of atomic weapons is number one
__label__Support	That includes oil	it includes everything within the range of taxation
__label__Equivalent	That’s never happened before in America.	That’s never happened before in America.
__label__Support	we're shutting firehouses who are the first- responders here in America	We hadn't done the work that ought to be done
__label__Support	He says that he voted for the resolution	He says he supports the President's position
__label__Attack	They've appropriated about $200 million, but only spent about $3 million to get it underway	The administration says they support the instant check
__label__Support	It hasn't been undone since I was there	it was a - a tremendous success
__label__Support	the suggestion that anybody in my team, whether the Secretary of State, our U.N. Ambassador	anybody on my team would play politics or mislead when we've lost four of our own, governor, is offensive
__label__Support	We didn't fund a lot of other things this year, like the savings and loan mess	we're going to pay a big price for right after the election
__label__Support	We can help people to live better lives	save money by helping hundreds of thousands of families on welfare to get off or welfare
__label__Attack	to say that this is the best economy in 30 years just staggers the imagination	We have the lowest combined rate of inflation and unemployment in 30 years
__label__Support	We have a higher unemployment rate in this country than Great Britain, and West Germany	Our unemployment rate is twice as high as it is in Italy
__label__Support	There's not that kind of a threat	It's Mr. Mondale that proposed the quarantine, not Ronald Reagan
__label__Support	Mr. Ford has made a political football out of the defense budget	I think that this is uh - an instance of uh - deliberate distortion, and this has occurred also in the question about defense
__label__Support	I wish that Senator Quayle would change his mind on that particular piece of legislation and give us the kind of a campaign reform law that I think is needed in America	I believe that we have to do some things in that regard
__label__Attack	I said that I would work for tax relief for middle class Americans	The deficit was bigger than I thought it was going to be
__label__Support	we've had such an increase in the number of people employed	This has been a very successful effort
__label__Support	"I still remember a woman that I met ten years ago who said she wanted to get off welfare so her kids could tell, give an answer when they say, ""What does your mother do for a job?"" I met that woman again"	I want to make more people like that woman, Lily Harden, so I've got a plan to do it, and it's just beginning
__label__Support	businesses and workers not getting a level playing field when it came to trade	I set up a trade task force to go after cheaters when it came to international trade
__label__Support	nobody really knows, with the latest increase in the Wholesale Price Index - that's about 18% on an annualized basis - what it's going to be	We haven't gotten either the economies in Government that were promised
__label__Support	at least in the south of Indochina, the Communists have moved out	we do have a strong, free bastion there
__label__Support	Compared to what’s going on in Europe, as the New England Medical Journal said, they’re starting from a very low rate.	We’re starting from a very high rate
__label__Support	they want the world	it doesn't satisfy them
__label__Support	We are the authors, the Democratic Party, of Clean Air, of Clean Water, of the superfund	I think we know well who's going to help clean up this environment
__label__Support	Their son, Brett, was in the bed next to our son and they couldn't pay their medical bills	They used to live in Atlanta, but they lost their house
__label__Support	We're going to tell them the truth about what's happening	we're going to actually tell the American people the truth
__label__Support	there's clearly an established Iraqi track record with terror	The senator has got his facts wrong
__label__Support	We are proposing to change that, not with a government-run plan, not with new taxes, but with a new approach called managed competition	every American family ought to have the right to see a doctor of their own choosing when they need to see a doctor
__label__Support	at least is not enough for them to maintain anything like their previous lifestyle	Social Security is not enough for a lot of people to live on
__label__Support	there's too much change in the world	Nobody running can promise that
__label__Support	one of four to vote against banning plastic weapons that can pass through metal detectors	I'm surprised to hear him talk about records
__label__Support	they're not using AK-47s	They're using cheap hand guns
__label__Support	I think this is very important	I will get back to the economic package
__label__Support	I spent a lot of time talking to military families as well as military members all over the world and in bases all across the United States	I also presented to the Congress and they adopted a large package of quality-of-life improvements
__label__Attack	I don't want either the military to feel uneasy or the American people to feel insecure	Yes, of course it's an important debate to have as part of this campaign
__label__Support	If we are going to have the initiative in the world, we must remember that the people of Africa and Asia and Latin America don't want to be pawns simply in a struggle between two great powers - the Soviet Union and the United States	we want to help them
__label__Support	"You know, they even had the Defense Department issue a memorandum saying, ""Don't bother applying for assistance or for being part of the reconstruction if you weren't part of our original coalition."""	that's not a good way to build support and reduce the risk for our troops and make America safer
__label__Attack	I am suggesting the way to work out of poverty is through real opportunity	I'm not suggesting there's no poverty
__label__Support	We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature	research, speeding the drugs to market, testing, blood supply are very important elements of this
__label__Support	Our exports are dramatically up	We're the envy of the world in terms of our economy
__label__Support	which means more and more government	Governor Carter in his acceptance speech called for more and more programs
__label__Support	I got a- a complete report back from those countries from these two distinguished - uh - gentlemen	I think it's accurate to say that there is no uh - prospect in their opinion, of the Soviet Union invading uh - Yugoslavia should uh - Mr. Tito pass away
__label__Support	You must understand the region	It's much more complex
__label__Support	most of the new jobs will come from small business	That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business
__label__Attack	We need American Muslims to be part of our eyes and ears on our front lines	It’s also very short-sighted and even dangerous to be engaging in the kind of demagogic rhetoric that Donald has about Muslims
__label__Support	I agree our military is the strongest in the world today	I will do whatever is necessary in order to make sure our forces stay the strongest in the world
__label__Support	These are dangerous times	I just care whether it works for America and whether it's going to make us stronger
__label__Support	along what he wants to do in terms of corporates, changes in the tax code	it costs about $5 trillion
__label__Support	We have these ships that go underwater, nuclear submarines	the nature of our military's changed
__label__Support	I think that you have to deal with the Russians from strength	I think that's a mistake
__label__Support	I did think that it was a blot on our record that we let him down	I did criticize the President
__label__Support	They don’t want to be shut down.	people want their schools open.
__label__Support	the conditions and the situation	General Petraeus had a strategy, the same strategy -- very, very different
__label__Support	Iran and Iraq are now more dangerous	As president, I'll never take my eye off that ball
__label__Support	They deserve a minimum wage of $15.	No one should work two jobs, one job and be below poverty.
__label__Support	He gave us a copy of the speech	The president likes to say he has a plan
__label__Support	We passed welfare reform	let's move a million people from welfare to work
__label__Support	And you have to understand, I'm a businessperson	the 28 countries of NATO, many of them aren't paying their fair share
__label__Support	they've understood from the beginning that when we open doors, we're all stronger	The American people want to keep opening doors.
__label__Support	in a showdown vote in the United Nations or in - in any other international council we're lucky to get 20 percent of the other nations to vote with us	Our allies feel that we've neglected them
__label__Support	to put in place reforms for Medicare and Social Security to preserve them	his policies haven't worked
__label__Support	We have to be able to compete in the world market	We have to be able to sell abroad more than we consume uh - from abroad if we're going to be able to meet our obligations
__label__Support	which means they're spending more money, businesses have more customers, businesses make more profits, and then hire more workers	They are certainly in a better position to weather the extraordinary recession that we went through
__label__Support	$90 billion in green pork to campaign contributors and special interest groups	Look at just the $90 billion in stimulus
__label__Support	by giving them those tax cuts, they had a little more money in their pocket, and so maybe they can buy a new car	They are certainly in a better position to weather the extraordinary recession that we went through
__label__Support	I am so disappointed in congressmen, including Republicans, for allowing this to happen	But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself
__label__Attack	The haves are doing well	This economy is not growing fast enough
__label__Support	I support the president's position	I support the president's position - and comfortably - from a moral standpoint.
__label__Support	the lawsuits are causing health-care costs to rise in America	I'm such a strong believer in medical liability reform
__label__Support	I stand here as my own man and I want you to see me for who I really am	Tipper and I have been married for 30 years
__label__Support	Governor Bush is in favor of vouchers which take taxpayer money away from public schools and give them to private schools that are not accountable for how the money is used and don't have to take all applicants	I don't think private schools should have a right to take taxpayer money away from public schools at a time when Caley Ellis is standing in that classroom
__label__Support	We have to have all of the above, alternative fuels, wind, tide, solar, natural gas, clean coal technology	we can do them all at once
__label__Support	You look at the poor people who still live in Cuba	It's a haven for drug smugglers
__label__Support	No president had ever taken on the tobacco lobby before	I did
__label__Support	if we make imprudent cuts	we risk the peace
__label__Attack	we were able to restore some of those terribly, terribly unfair cuts to the poor people of this country	If you take AFDC, if you take food stamps, if you take - oh, go down the line on poor people's programs, those are the programs that suffered considerably under this administration's first budget cuts and those are the ones that in the second part of their part of their term
__label__Attack	$100 billion in additional funding for our military than Governor Bush does	a high priority for myself and Governor Bush to rebuild the U.S. military and to give them the resources they need to do the job we ask them to do for us and give them good leadership
__label__Support	The great recession crushed them	The middle class got knocked on their heels
__label__Support	We lost an election.	That’s why I’m running to win back that election and change his terrible policy.
__label__Support	something that has been languishing in Washington for 30 years	make sure that we finally get serious about energy independence
__label__Support	I think the Atomic Energy Committee is prepared for it	if we fail responsibility will be clearly on the Russians and then we'll have to meet our responsibilities to the security of the United States, and there may have to be testing underground
__label__Support	all my life I've worked in a way that demonstrates that	I know the Cuban state as a police state
__label__Support	the best thing I had when I ran that civilization, it succeeded, and it's a landmark	The best thing I had going for me was I had no contact with Washington for all those years
__label__Support	so when they burn their dirty coal, it won't be as dirty, it will be clean	I was talking about exporting that technology to China
__label__Support	When something happens that endangers our security, or when something happens that threatens our stature in the world, or when American people are endangered by the actions of a foreign country, uh - just forty uh sailors on the Mayaguez, we obviously have to move aggressively and quickly to rescue them	This is uh - what the American people want
__label__Support	you said Russia, in the 1980s, they're now calling to ask for their foreign policy back because, you know, the Cold War's been over for 20 years	a few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia, not Al Qaida
__label__Support	The secretary of defense has said these would be even devastating	The president's reelected you'll see dramatic cuts to our military
__label__Support	That's what got me into this race, so we could rebuild the American economy	We have to be the strongest economic power in the world
__label__Support	It has to have options for loans to failing businesses, rather than the government taking over those loans	we have finally seen Republicans and Democrats sitting down and negotiating together and coming up with a package
__label__Attack	I donâ€™t think he will	I would be interested to see if he would say this evening he'll put Medicare in a lockbox
__label__Support	This is a very important topic and it's a very sensitive topic	I think what the next president ought to do is to promote a culture of life in America
__label__Attack	I've never promised that	You can't stop all outsourcing
__label__Attack	My Daddy was a truck driver who bought the truck and started a company. We need more truck drivers becoming truck owners and they can't do it if they don't have access to the capital and the seed corn for the next generation of truck and jobs for America	They want to cut the Capital Gain Tax, but only for home owners
__label__Support	But we'd note that Mr. -- Governor Clinton's plan is almost twice as much a cut as either one of us	Bill Clinton wants to cut defense another $60 billion
__label__Equivalent	make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels	I feel that another effort should be made by a new Administration in January of 1961
__label__Attack	It's not	The President just said that his government is shrinking
__label__Attack	He has no respect for our president	She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people
__label__Support	They've been deported	under Obama, millions of people have been moved out of this country
__label__Support	I am the change	I don't want to go back to malaise and misery index
__label__Attack	I know we're not going to achieve our objective if we send mixed signals to our troops, our friends, the Iraqi citizens	I'm optimistic we'll achieve
