head,relation,tail
they've all got a lot of anxieties out there,is a,claim
i know a lot about that,support,america has a lot of families that are in trouble today
this is government by stalemate,is a,claim
milosevic has lost the election,is a,premise
do we move forward with strength and with prosperity,is a,claim
we’re planting a billion trees–the billion tree project,is a,premise
we are not letting that surplus stay in the bank,support,we are spending that surplus to make the deficit look smaller to you than it really is
our country's in deep trouble,is a,claim
"i don't know what the latest cost estimates are, but it's going to be in the range of 25, 50, 75, $100 billion",is a,claim
"small business pays that individual rate; 54 percent of america's workers work in businesses that are taxed not at the corporate tax rate, but at the individual tax rate",support,if we lower that rate
it's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there,support,it's not time to divorce
the harm they inflicted on us with airplanes would be multiplied greatly by weapons of mass destruction,support,"that was the serious, serious threat"
i don't think vouchers are the right way to go,is a,premise
any connection with al qaida is tenuous at best,is a,claim
"while he was ceo of halliburton, they paid millions of dollars in fines for providing false information on their company",said in,05-10-2004
we've gone through a great depression in our lifetime that literally was worldwide and almost brought us to our knees,is a,premise
it's a very tense situation there,is a,premise
i favor the particular constitutional amendment that would turn over to the states the uh - individual right to the voters in those states uh - the chance to make a decision by public referendum,said in,22-10-1976
so that more of these children could come to term,is a,claim
i have seen communist influence and castro influence rise in latin america,is a,premise
we want family leave,support,there's a better way to do it
there is no such proposal,said in,13-10-1992
if we don't trust younger workers to manage some of their own money with the social security surplus,said in,03-10-2000
in my state we toughen up the juvenile justice laws,is a,claim
i went to meet with the members of the security council in the week before we voted,said in,08-10-2004
i say this very honestly without any partisanship,said in,06-10-1996
"that treaty does not commit the united states to defend anything except formosa and the pescadores, and to deal with acts against that treaty area",said in,13-10-1960
"in other states, we've done it",said in,13-10-1988
we're going to keep on doing that,said in,11-10-1992
i don't believe it's going to happen,said in,30-09-2004
i don't see how a person can separate their public life from their private life or from their faith,said in,11-10-2012
"there seems to be a lot of preoccupation on -- not certainly only in this debate, but just in general on law",is a,claim
we need to have accountability,is a,claim
i believe the budget can be balanced by 1982 or 1983,is a,premise
the same exact thing,is a,premise
"general petraeus, working with the pakistanis, working with the afghans, doing the same job that he did in iraq, will again",is a,claim
"we do more good things for more people in our communities, our neighborhoods, than anywhere that i know of",is a,claim
"it's very hard to strengthen the family if people are scared to walk down to the corner store and, you know, send their kid down to get a loaf of bread",said in,15-10-1992
"iran went from zero centrifuges to develop nuclear weapons to 4,000",is a,claim
so did governor thompson,is a,claim
"we just read on the front pages of america's papers that there are over 100,000 hours of tapes, unlistened to",is a,claim
i voted for border security,is a,premise
"we need to look back, even two years ago, and we need to be appreciative of john mccain's call for reform with fannie mae, with freddie mac, with the mortgage-lenders",said in,02-10-2008
we cannot allow iran to get a nuclear weapon,is a,premise
"we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals",said in,26-09-2016
"our country is losing so much in terms of energy, in terms of paying off our debt",said in,26-09-2016
"if we can keep our prosperity going, if we can continue balancing the budget and paying down the debt, then the strong economy keeps generating surpluses",said in,03-10-2000
i think it could be a more powerful country,said in,26-09-1960
"that money, i think, ought to be put into rebuilding the base of our cities",said in,21-09-1980
we kept the politicians and the state out of the personal exercise of our faith,said in,07-10-1984
the president rushed our nation to war without a plan to win the peace,is a,claim
"i said from the beginning that we ought to continue research into the strategic system at about the level that was added in 1983, that's about a billion dollars a year",is a,claim
we've had uh - republican presidents before who've tried to run against a democratic - uh congress,said in,23-09-1976
"the record is pretty clear in arkansas, when you were governor",is a,claim
they cheat,said in,29-09-2020
i'm not gonna raise taxes on middle class americans to pay for the programs i've recommended,said in,19-10-1992
i hope we can talk about what we're going to do in the future,said in,16-10-1996
"there's a thing called the monroe doctrine, something that the governor of massachusetts has said has been superseded",support,i think they believe in the monroe doctrine
you've got to be consistent when you're the president,is a,claim
we want to get a question from phillip tricolla,support,you certainly will have lots of time here coming up
the great recession hit,said in,11-10-2012
not just jobs,is a,claim
we have to keep americans' taxes low,said in,07-10-2008
you live in your own reality,is a,claim
"it was a man down there in that area that this was delivered to, and he recognized that what was in that manual was in direct contravention of my own executive order, in december of 1981",is a,claim
they don't want to go into a drug bust and be facing an ak-47,is a,claim
we're working hard to sign up children,support,we just have a different point of view
"with a 14 percent increase in the cost of living in the last uh - two years, it means that - that women and young people have had to go to work when they didn't want to",said in,23-09-1976
we convinced libya to disarm,said in,30-09-2004
they're a little fearful,support,you go to the heart of america's worries tonight
we need to have fixed-cost contracts,is a,claim
that says the government has got to bend over backwards before we interfere with religious practice,is a,claim
"how could you be commander-in-chief of the armed forces and have some kid say -- when you have to make a tough decision, as i did in panama or kuwait and then have some kid jump up and say, ""well, i'm not going to go",is a,premise
right now our military is the strongest in the entire history of the world,is a,claim
i've never promised that,said in,08-10-2004
it finally gets to 50 cents at the end of the 5th year,is a,claim
i think it's very appropriate that the first question in this first debate of campaign '80 should relate to the economy of the country,is a,premise
so you can go out and create more jobs and more opportunities,is a,premise
"it seems to me with the stimulant of more money in the hands of the taxpayers, and with more money in the hands of business to expand, to modernize, to provide more jobs, our economy stimulated so that we'll get more revenue and we'll have a more prosperous economy",said in,23-09-1976
"that stands in contrast to my worthy opponent's plan, which will increase the size of government dramatically",attack,here are the choices that i will make
"if you've got health care already, and probably the majority of you do, then you can keep your plan if you are satisfied with it",said in,07-10-2008
you've got to fix it and do something with it,is a,premise
they teach them,is a,claim
it creates hundreds of thousands of jobs,attack,senator obama says that it has to be safe or disposable or something like that
my priority is jobs,is a,premise
"what i want to do, is build on the five million jobs that we've created over the last 30 months in the private sector alone",is a,claim
you get a better rate of return on the money than the paltry 2% that the federal government gets for you today,said in,17-10-2000
"that's not a political thing, that's a math thing",is a,premise
it's a classic mccarthyite smear techniqu,support,i think the president of the us ought to apologize
we can't have any more instances like what happened when mr. bush went to japan and the japanese prime minister said he felt sympathy for our country,is a,claim
"helped me pay for college, it helped her go back to college in her 50s where she started a small business because of the new skills she got",said in,11-10-2012
i think we're both supportive of them,is a,claim
that's what we will do,said in,16-10-1996
in the history of the world,support,"person-to-person, person-by-person, unit-by-unit, this is the most powerful and effective military"
i said starting back in june that he was not fit to be president and commander-in-chief,is a,claim
the tax burden on them has not gone down,support,"i don't think the answer is to slow the economy down more, drive unemployment up more and undermine the health of the private sector"
they did not,said in,11-10-1984
that's the debate,is a,claim
"we will use the military assets, we will use military assets - but we need to focus on another part of this problem, and that problem is law enforcement",support,"we believe people convicted of that crime deserve the death penalty, as does the legislation that's in the congress that is supported by a bipartisan, including many democrats of his party"
it is less likely we'll ever have to use troops,said in,30-09-2004
you'll find a tort reform plan,support,it's in my health-care proposal
i have worked across the aisle,said in,26-09-2008
i'm worried,is a,premise
certainly not so that the wealthiest people in america can walk away with another tax cut,said in,13-10-2004
if a person loses his hob he is retrained for a benefit-for a-work that will be productive and he won't have to go on one of these many programs that the liberal-talking about,is a,premise
"so when they burn their dirty coal, it won't be as dirty, it will be clean",support,i was talking about exporting that technology to china
we have to stand for our principles,said in,22-10-2012
we're not going to run away,is a,claim
i also think it's important to be somebody who is willing to make those tough choices,is a,premise
nobody in the world agrees with our policy on cuba now,said in,06-10-1996
kenny was a great talker,support,he used to tell me things that i knew were not quite accurate
"who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers",said in,25-09-1988
bill clinton offers a new approach,is a,claim
it had nothing to do with the debate on social security,support,that is absolutely not true
that's important to this country,said in,19-10-1992
"if you don't have health insurance, you're going to be able to buy the same kind of insurance that senator mccain and i enjoy as federal employees",is a,premise
"we've seen in nation after nation, a number of disturbing events",is a,claim
"he, like welfare reform, i'm going to sign it but i'm going to try to change it next year",said in,06-10-1996
he wants you to believe that because he can't come here and tell you that he's created new jobs for america,is a,claim
"i cast the tie-breaking vote to close it, but then the majority in the house of representatives went the other way",said in,11-10-2000
bill clinton is opposed to it,is a,premise
we don't have people that know what they're doing,is a,premise
"they said even if we are the strongest if we donâ€™t do something if we don't have a clear vision of the military, if we don't stop extending our troops all around the world and nation building missions, then we're going to have a serious problem coming down the road, and i'm going to prevent that",said in,03-10-2000
"mr. cruz, who was to be the only viable challenger to nicaragua, the sandinistas, to the junta, to mr. ortega, went down there and found that the ground rules were so unfair that he couldn't even wage a campaign",support,one country is devoid of human rights
"it was asked how, if we would squeeze down so fast that we would strangle the economy in the process",said in,13-10-1992
we can't stand pat,is a,claim
i am not going to make the decision as to what the tactics could be,support,"but i am not going to pick out one and, in advance, hypothetically say, ""oh, yes, we would send troops there"
that's what we get in this administration -- speeches,is a,premise
"the cost of repaying those debts is so enormous that it results in massive unemployment, hardship, and heartache",is a,claim
"every fact checker and every reporter who's looked at it, governor, has said this is not true",is a,premise
if they do,support,they will have heard the harsh reality of what we have to do
he fails to point out that uh - in the 1950s we were engaged in the war in vietnam,said in,22-10-1976
that's a classic example of a strategy that's embarrassed us,said in,21-10-1984
i'm thankful that the constitution would allow a bit more authority given to the vice president also if that vice president so chose to exert it in working with the senate and making sure that we are supportive of the president's policies and making sure too that our president understands what our strengths are,said in,02-10-2008
they shouldn't have a big megaphone that drowns out the american people,is a,claim
russia is a country in transition,is a,claim
it has its own territorial integrity,is a,premise
bill clinton wants to ration health care,is a,claim
it encourages the use of renewables like ethanol and biodiesel,is a,premise
we have had to strengthen the military and we're well on the way to getting that job done,attack,you had a major problem with the military
we hope that their leadership takes the right decision,is a,claim
i want to get these debts down and these interest rates down,is a,premise
they're thirsty for it,is a,claim
we want to reduce the incidence of abortion on our society,is a,claim
this is a very important country to us,said in,30-09-2004
we are not going to spend the billions and trillions that mr. bush wants to spend on star wars,said in,13-10-1988
i could suggest another choice that you have,said in,28-10-1980
"the nuclear capability has been searched by the united nations, and there hasn't been one single scintilla of evidence that there's any us technology involved in it",is a,premise
they've controlled these communities for up to 100 years,is a,claim
i want to think that they're going to be able to afford an education,said in,15-10-1992
"i do want to just point out that autism, for example, or other special needs will require some additional funding",is a,claim
so does michael feinberg,support,it can happen in america with the right kind of leadership
it failed,said in,26-09-1960
people didn't want to touch it for fear of getting hurt politically,is a,premise
"if all americans are getting opportunity, we're all going to be better off",is a,premise
i've been a member of congress for six years,support,i've seen what has happened in the past several months; seventeen months of your administration
that's the cause,said in,02-10-2008
"of course, we are 5 percent of the world's population",support,"we need to have smart, fair trade deals"
i see it as a human-rights issue,support,i see it as a serious problem
it's a matter of morality,said in,06-10-1976
"making sure that, you know, our veterans are getting the care that they need when it comes to post-traumatic stress disorder and traumatic brain injury",said in,22-10-2012
i proposed a hydrogen automobile -- hydrogen-generated automobile,said in,08-10-2004
all these other countries are looking to us,support,the united states is now the natural leader of the world
"we all recall with some sadness that at uh - the period of the nin- late nineteen forties, early nineteen fifties, there were some indications that the united states would not include uh - south korea in an area of defense",is a,premise
"the second area, taxation, we agree",support,we ought to bring the tax rates down
"because in essence, i agree with every major initiative he is suggesting",support,i would follow through on barack's policies
i stated over and over again that it was essential during that period that the united states make it clear that we would not tolerate indochina falling under communist domination,is a,premise
take a look at upstate new york,support,all you have to do is take a look at her senate run
early in my administration i called the attorney general and the u. s. attorneys and said: put together a task force all around the country to prosecute those who commit crimes with guns,is a,premise
that's not appropriate to do,is a,claim
"the future of things that matter to you -- in terms of civil rights, what kind of justice department you'll have, whether we'll enforce the law",attack,"the supreme court of the united states is at stake in this race, ladies and gentlemen"
taxes are going up when you run up the top two brackets,is a,premise
let states do this,is a,premise
unemployment is up,said in,13-10-1992
the european community is in a position to pay a lot more than they have in the past,is a,claim
social security is not that tough,is a,claim
i also believe that it is -- one of the reasons we can't do it is we're overextended,said in,30-09-2004
he's praised george bush as a good economic steward and dick cheney as somebody who's -- who shows great wisdom and judgment,said in,22-10-2012
we saw it in czechoslovakia,said in,05-10-2000
i think there are better and more effective ways to deal with violent crime,said in,13-10-1988
i don't believe in discrimination,support,to build a sense of community so we're all working together
that's just flat wrong,support,yeah
we can bring that kind of a cost down and get more to market prices if we'll have a good trade policy,is a,claim
mailman selling the ballots,said in,29-09-2020
i want to make sure the outcome honors that nobility,support,i believe i can get this job done
"more teachers, more pods",is a,premise
we used to have 18,is a,premise
our country's in deep trouble,support,that's the kind of thinking that our country needs
i see the funding that is required,is a,premise
the biggest tax cuts for the top percent of the people in this country than we've ever had,support,it would be the most extreme version
he's the one candidate who's led troops in battle,support,i think the most important thing i've learned from this process is what i now know about john kerry
"civil rights - uh has been confirmed by the burger court, hasn't been uh - reversed",support,i think the burger court has confirmed that basic and very controversial decision of the warren court
we're going to make it clear to the world we're serious about containing nuclear proliferation,support,we're going to build the strongest international network to prevent nuclear proliferation
a half-a-trillion dollars we owe china,is a,claim
we have avoided surrender of principle or territory at the conference table,is a,premise
i wanted us to pay for it,is a,claim
mixed messages send the wrong signals to our troops,is a,claim
letting the strength of our nation be felt in a beneficial way,support,not injecting american military forces into combat
maybe he's not as charitable as he claims to be,is a,claim
governor bush is in favor of vouchers which take taxpayer money away from public schools and give them to private schools that are not accountable for how the money is used and don't have to take all applicants,is a,claim
"in 1985, i was one of the first democrats -- broke with my party",is a,claim
they get to work for 30 days or 60 days,said in,16-10-1996
in health care for all americans,is a,claim
they have the opportunity to move students out of poorly performing schools to good schools,said in,05-10-2004
"john white has endorsed the economic aspects of our plan, even though i believe he was the architect of ross perot's economic plan",said in,13-10-1992
"that's what my friend from indiana has opposed repeatedly, vote after vote",said in,05-10-1988
"if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent",is a,claim
it's time for a new path,attack,we know that the path we're taking is not working
our commanders have got all the flexibility to do what is necessary to succeed,is a,claim
i was one of only a few democrats in the senate to support the persian gulf war,said in,03-10-2000
"when iraq if free, america will be more secure",said in,30-09-2004
it's not enough,is a,premise
general petraeus has just taken over a position of responsibility,support,he has the command and will really set the tone for the strategy and tactics that are used
i have fought against special interests,is a,claim
we don't want to extend beyond 2014,support,we want to make sure that 2014 is successful
that has the benefit of making sure our employers aren't breaking the law as they try to fill their workforce needs,is a,premise
we have to test every child every year to know whether or not we're making progress with respect to achieving those goals and objectives,support,we want accountability
"i am determined for those soldiers and for those families, for those kids who put their lives on the line",support,i believe i can get this job done
"it was not only precipitous, it was a sign, not of strength, but of weakness",support,"the problem with the foreign policy of this administration, there is none"
oil and natural gas production are higher than they've been in years,said in,03-10-2012
"whenever you do that, inevitably the dictator is encouraged to try it again",said in,13-10-1960
maybe you don't go out to dinner as much,is a,claim
"we were about to go through the worst recession since the great depression, as a consequence of some of the same policies that governor romney's now promoting",support,"the price of gasoline was $1.80, $1.86"
"the soviet union has been engaged in the biggest military buildup in the history of man at the same time that we tried the policy of unilateral disarmament, of weakness, if you will",attack,"i know that mr. mondale, in the past, has made statements as if they were just people like ourselves, and if we were kind and good and did something nice, they would respond accordingly"
i’m going to help the african-americans,said in,09-10-2016
"president clinton apologized in houston for saying, whoops, i raised your taxes and they're too high",said in,09-10-1996
"under the law of this country for the last 200 years, no state has been required to recognize another state's marriage",is a,claim
i call that unpatriotic,is a,claim
that is a red line for us,said in,22-10-2012
you have mentioned the creation of nine million new jobs,is a,claim
to make us a better country,is a,claim
"this is major, major progress",said in,05-10-2004
"the way i would accomplish that--was with a tough trade policy, opening up those markets, getting those prices back up to market prices",said in,05-10-1988
in some cases may be still at large,is a,claim
it may later be catholics,said in,06-10-1976
there is no way that the recovery is even across the country,is a,premise
he wished the deficit could be doubled,support,he spoke in praise of deficits several times
they do not need it,said in,11-10-2012
"i am concerned about a tax on muslims, for example, over there",support,both of them are very complicated situations
we give you broader competition,is a,premise
didn't have very much money,support,"at that time, nobody thought i had a chance to win"
"in his first year, i was just getting -- licking my wounds from having been beaten by john mccain, all right",support,i was not the standard bearer
show them by christmas the first cut at these plans,is a,premise
i want to be the best president i can be for every american,is a,claim
"they opposed the creation of a department of homeland security, and then they were for it",said in,05-10-2004
you do that by lowering taxes on american workers and on our businesses,said in,02-10-2008
"on all of these things, a sound economy is the only way to get it going",said in,15-10-1992
they see this tremendous influx and swamping of cheap foreign imports in this country that has cost over 3 million jobs,said in,07-10-1984
"i am very proud in this race to have the support of general john shalikashvili, former chairman of the joint chiefs of staff; admiral william crowe, former chairman of the joint chiefs of staff; general tony mcpeak, who ran the air war for the president's father and did a brilliant job, supporting me",support,our military is overextended under the president
i'm going to get the training of iraqis done faster,attack,did our administration push for the total training of iraq? no
civilian personnel by a hundred thousand,said in,06-10-1976
"that's not a political thing, that's a math thing",said in,11-10-2012
they want to obscure their own record,is a,claim
i'm in favor of testing as a way of measuring performance,is a,claim
"and there was a long, deathly silence",is a,premise
he was on that side virtually throughout all his years in the senate,support,he has a record of weakness with regard to our national defense that is second to none
he is an indicted war criminal,is a,premise
china ate your lunch,is a,claim
"i don't think that the state, the board of regents, a board of education, or any state official, should try to compose that prayer for a child to recite",is a,premise
i think this insurance policy is necessary,is a,premise
"when you asked me to come back in, i came back in",is a,claim
that's what i've seen you do in this administration,is a,claim
"the president of the united states, the highest office in the world, the most important office in the world, has a responsibility to young people, as we talked about earlier",is a,premise
the misery index -- unemployment and inflation added together -- it was invented by the democrats -- went right through the roof,is a,claim
i want to end the tax breaks for companies that are shipping jobs overseas and provide a tax credit for every company that's creating a job right here in america,said in,15-10-2008
i think we're all in this together,support,i think we're all in this together
you have to develop consensus or you can't get anything done,is a,claim
they are people out there making predictions that it's not going to be the same,said in,06-10-1996
i want regulators to see their job as encouraging small enterprise,is a,claim
"i believe in a national reading initiative for local districts to access with k through 2 diagnostic testing, curriculum that works, phonics works",said in,17-10-2000
it's fair,said in,02-10-2008
"when i went to congress from buffalo in 1970, you could almost walk across lake erie because of the pollution",support,we've got a lot of progress that we've made and we've got to make more
go after those who would do us harm,support,"as commander in chief, i will maintain the strongest military in the world"
there's a law pending called the employment non-discrimination act,said in,11-10-2000
people look to the president of the united states more than any other person in america,is a,claim
we risk the peace,is a,claim
it’s a horrible thing she’s doing,attack,come right in. come right over
"there is every evidence, every indication that that government would be hostile to the united states",is a,claim
i'm excited about our prospects as a nation,is a,claim
it's growing much more slowly now than when you made that statement,said in,03-10-2012
"and one of the things he said early on when he was choosing, he said he picked someone who had an independent judgment and wouldn't be afraid to tell him if he disagreed",support,"that is sort of my reputation, as you know"
we vote on resolutions,support,that simply isn't true
i'm going to cut regulations,is a,claim
we can't put our troops all around the world,said in,11-10-2000
i want to pursue your plan,is a,premise
we are not well served when we attack each other in a kind of ad hominem way,support,"we need to be disagreeing on ideas, honestly, and talking about the future"
it's not only about roe v,said in,19-10-2016
"we got kuwait back to the emir but he's still not his nuclear, his chemical, his bacteriological and he's still over there",support,"i suggest that in a free society owned by the people, the american people ought to know what we told ambassador glaspie to tell saddam hussein"
we simply cannot stand to continue with this failed approach that is no good for us,attack,we have got to change direction
"under budget, ahead of schedule, saved tremendous money",is a,claim
i think you know that i've opposed the death penalty during all of my life,is a,premise
we have worked hard to expand america's economic presence around the world with the biggest increase in trade with the largest new number of trade agreements in history,said in,06-10-1996
"raising interest rates, mortgage rates and car payments",support,we stopped that plan before
"when i went to the ahgandah (ph) valley in kandahar before the surge, i sat down with a young private in the 82nd from the monamanee (ph) indian reservation who would tell me what he did every day, and i was in awe",support,"when i think about afghanistan, i think about the incredible job that our troops have done"
we do not spend a higher percentage of our income on public education than every other country,is a,claim
and to establish a permanent home heating oil reserve here in the northeast,is a,claim
it has not worked for america,is a,claim
it took a long time for that to be told to the american people,is a,claim
all of us are going to make sacrifices,support,"it means that, yes, we may have to cut some spending"
there is the republican guard in iran,is a,claim
they have not only the right but the obligation to defend themselves,equivalent,they have an obligation to defend themselves
"i believe we need incentive for the individual, and for business and industry",said in,21-09-1980
i'm not going to appoint a judge to the court who's going to undo a constitutional right,support,i believe that the right of choice is a constitutional right
i filed more information than any other candidate for a national office in the history of this country,support,"not only did i agree to file my tax returns, after a little bit of prodding my husband also agreed to file his with the - not only the ethics committee but the fec"
"it seems to totally belie the claim that i heard president carter make a few days ago, that he was the first president that had come forth with a real urban strategy to meet the problems of urban america",is a,premise
they’ll pay off our national debt,said in,09-10-2016
i'm going to ask the congress to pass a teacher protection act,attack,you can't have a consequence for somebody without fear of getting sued under federal law
we won't come home in defeat and dishonor and probably have to go back if we fail,support,we will win this one
"the bush administration has cut out -- has vetoed family leave, they have cut childhood immunization and college aid",is a,claim
we spend more on education 'cause we spend so much more on colleges,said in,15-10-1992
it's our turn to take that torch,is a,claim
90% of our kids go to public schools,is a,claim
we don't have the resources or the allies to do everything that we should be doing,said in,07-10-2008
in this case it's about a firmer policy with cuba,is a,claim
it takes two bread winners to do what one breadwinner could have done just a relatively few short few years ago,is a,claim
"in the middle of the civil war, abraham lincoln said, let's help to finance the transcontinental railroad, let's start the national academy of sciences, let's start land grant colleges, because we want to give these gateways of opportunity for all americans",said in,03-10-2012
"one percent of america got more than the 80 percent of america that earned from $100,000 down",is a,claim
this year congress is doing a little better in controlling the growth of spending,is a,premise
"that we gave the weapons inspectors time to find out what we now know, that in fact there were no weapons of mass destruction",is a,claim
"i think if you look for something that could develop, some problem that could arise, that might, in fact, jeopardize our continuing prosperity",is a,claim
"the - the final thing is that i have signed and approved of more scenic rivers, more wilderness areas, since i've been president than any other president in the history of the united states",said in,22-10-1976
i disagreed with him,said in,19-10-2016
"that, to me, was so hurtful",said in,15-10-2008
the world is changing so rapidly,support,the united states is now the natural leader of the world
we have no choice,is a,claim
i'll continue to do them as president,is a,claim
they can't pay for their prescription drugs and so they're some of the ones that go to canada regularly in order to get their prescription drugs,support,"under my plan, half of their costs would be paid right away"
"we must have a consistent foreign policy, a strong america, and a strong economy",said in,28-10-1980
i'll get people back to work with 12 million new jobs,attack,the president's path means 20 million people out of work struggling for a good job
it's a plan that's estimated to create 7 million jobs,support,our entire premise of these tax reform plans is to grow the economy and create jobs
we are helping democracy,is a,claim
"one of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever",is a,premise
they're going to many other countries,said in,26-09-2016
that has cost us dearly,said in,07-10-2008
look at just the $90 billion in stimulus,said in,11-10-2012
i have worked with latinos—one of my first jobs in politics was down in south texas registering latino citizens to be able to vote,support,"so i have a deep devotion, to use your absolutely correct word, to making sure that every american feels like he or she has a place in our country"
"the question is, would you buy a used election promise from my opponent",said in,06-10-1996
i felt like there needed to be a better sense of responsibility of what was going on in the white house,is a,claim
"but for a ticket that wants to talk about change and looking into the future, there's just too much finger-pointing backwards to ever make us believe that that's where you're going",attack,"there have been huge blunders throughout this administration, as there are with every administration"
both fritz mondale and i agree on the same goal,support,that is nondiscrimination
why take it in the first place if you're going to give it back?,is a,claim
"i want a tax cut for education and child rearing, but it's got to be paid for",support,these are my commitments
this is a show me state,is a,premise
it has been pure demagoguery that we have in some way shut off all the charitable programs or many of them for the people who have real need,support,we're taking care of more people than has ever been taken care of before by any administration in this country
this country cannot take another four years of barack obama,said in,09-10-2016
off-road diesel engines -- we have reached an agreement to reduce pollution from off-road diesel engines by 90 percent,support,the quality of the air's cleaner since i've been the president
"i remember the vice president saying, ""just give us a chance to get up there, we're going to make sure you get tax cuts.""",said in,03-10-2000
embryonic stem-cell research requires the destruction of life to create a stem cell,said in,08-10-2004
the reorganization proposal that i have put forward is one uh first step,is a,claim
then they'll make a decision to go a place where -- where they have better opportunities,is a,claim
"i think if i were a senior citizen i would be a little fed up with all these ads scaring seniors, scaring veterans and scaring students about education",said in,16-10-1996
"for the people earning more than $200,000 a year, you're going to see a rollback to the level we were at with bill clinton",is a,claim
that's my big difference with him on the draf,said in,19-10-1992
these questions that have been seen many times come up in a new context,is a,claim
"here in the united states, we've made significant progress",said in,05-10-2004
this should have been a time for american leadership,said in,22-10-2012
people will be happy to get traditional medicare or they'll be able to get a private plan,is a,premise
"the threats we face: terrorism, killing terrorists and stopping them before they can do damage to us, making sure that we stop the spread of nuclear weapons",support,the danger of nuclear weapons getting in the hands of terrorists is one of the greatest threats that america faces
i don't want to do that,said in,13-10-1988
"instead of squabbling and finger pointing, he gets immediate help",said in,03-10-2000
we've created five million jobs,is a,claim
four years ago they campaigned on getting prescription drugs for seniors,support,now they're campaigning on getting prescription drugs for seniors
and it's now the smallest number that we have had since the -- the smallest in size since john kennedy's administration,is a,claim
4th in the reduction of poverty,said in,19-10-1992
i had to close the greatest economy in the history of our country,is a,claim
"let me say what a friend told me, and i believed it for my whole career, weakness is provocative and our message should be clear",said in,09-10-1996
"i want to make sure the equipment for our military is the best it can possibly be, of course",is a,premise
i wanted the american people to know i was willing to give up something,said in,06-10-1996
we wish they would think anew and move forward to verification so everybody would know whether the other side was keeping its word,support,"much more important, you'd reduce the level of terror"
that hurts this nation,is a,claim
i was quoted wrong,is a,claim
the vice president ignored them,is a,claim
"over time, if traditional medicare has decayed or fallen apart, then they're stuck",is a,premise
we didn't even have a bureau of african affairs until 1957,is a,premise
"if we can harness the tremendous resources - militarily, economically",said in,06-10-1976
"when i was growing up in los angeles, my parents were a one working family, one breadwinner per family was all that was necessary",is a,claim
it's a culture that somewhere along the line we've begun to disrespect life,is a,claim
you can't have a pattern of one side of the issue one day and another the next,said in,19-10-1992
every parent i know would acquire health insurance for their children if they could,said in,07-10-2008
the record just doesn't prove that such legislation or action by a local city council is effective,support,i don't believe in the registration of handguns or the registration of the handgun owner
that's how we're going to reduce demand,is a,claim
we cannot continue to live on a credit card,is a,claim
"the reason no child left behind was left behind was the money was left behind, we didn't fund it",is a,claim
she imposed a windfall profits tax up there in alaska,support,i agree with the governor
"i would like to point out that when we look at our programs in latin america, we find that we have appropriated five times as much for latin america as was appropriated by the previous administration",said in,21-10-1960
asia will be our largest trading partner in the future,support,it will be a growing and a closer relationship
the va does that,is a,premise
we pick people who are open-minded,is a,premise
"if anybody can even think about legalizing drugs, they've lost me",said in,11-10-1992
we also had to make sure that moammar gadhafi didn't stay there,said in,22-10-2012
i think government has a responsibility to find jobs for the youth of this country,is a,claim
we're going to reform our intelligence services to make sure that we get the best intelligence possible,said in,30-09-2004
osama bin laden attacked us,is a,premise
the previous administration stood by and so did i -- not that i could have done anything in my position at that time -- but for this revolution to take place,said in,21-10-1984
"you have to be able to negotiate, that's right, with japan, with saudi arabia",said in,26-09-2016
it's within our capacity,is a,claim
nothings wrong with it,is a,premise
it's cut pell grants and loans to close the door to college opportunity on youngsters all over this country,support,i must have been living through a different eight years then the ones the vice president's been living through
the way you to that position of rnoving away from having to make a decision - armed force or anything else - is by moving toward arms control,is a,claim
i do have a lot of experience in getting things done,said in,11-10-1992
another thing that a farmer is not interested in and that's supply management that the democratic platform talks about,is a,claim
i will never stand for a reduction of the social security benefits to the people that are now getting them,said in,07-10-1984
he's had experience in it,said in,07-10-1960
"i've got a plan with this new welfare reform law to work with the private sector, to give employees specific tax incentives to hire people off welfare",support,"i want to make more people like that woman, lily harden, so i've got a plan to do it, and it's just beginning"
we're not getting the best cooperation in the world today,said in,08-10-2004
he didn’t have a job until you became vice-president,is a,claim
what kind of mixed message does it send when you have $500 million going over to iraq to put police officers in the streets of iraq,is a,premise
they're still putting pressure on us from the arab countries to our discredit around the world,support,this encourages the kind of pressure that's been put on us successfully
it's happening,said in,09-10-1996
"afterwards, congressman lewis put out a similar statement, saying that he had probably gone over the line",support,we immediately put out a statement saying that we don't think that comparison is appropriate
"we're going to say to them, you've listened to the voters the way we have",said in,11-10-1992
it's a great thing for the middle class,said in,26-09-2016
leads me today,is a,premise
everybody ought to be in this thing,support,my plea to the american people is values in the schools
it's an empty promise,is a,claim
we've probably had the largest reorganization of government since we established the defense department,said in,26-09-2008
trained people in these newly developing countries can operate the economies,is a,claim
"the new president of pakistan, kardari (sic), has got his hands full",is a,claim
libya understood that america and others will enforce doctrine and that the world is better for it,support,"by speaking clearly and sending messages that we mean what we say, we've affected the world in a positive way"
we also have john mccain to thank for bringing in a bipartisan effort people to the table,is a,premise
